,Topic,Representative Post
0,0,tracking bill gate population control
1,0,covid not pandemic pandemic global socialism
2,0,two test procedure came back negative reading past result say not fda approved sarscovid also false positive false negative said chart underneath negative result
3,0,idea pretend mask working pretend wearing one
4,0,good thee not know nothing worry about always seen without mask
5,0,exactly that case exactly able live without mask never
6,0,help get alternative universe normal people run place
7,0,guy live alternate universe dementia perhaps
8,0,screw meme not universe time joke
9,0,fauci given much authority not care say not submit
10,0,trump right this fauci wrong
11,0,fauci garden gnome not know anything remember anything
12,0,good luck god speed
13,0,god you god speed prophetic speed you
14,0,god speed god bless
15,0,grammy dae email potus put gitmo little rehab therapy
16,0,tax money drug sale rehab addict
17,0,holocaust drug addict passing counterfeit money
18,0,not reject science god number one
19,0,apparently not science matter
20,0,wait science liberal science they are two different thing
21,0,need start standing governor
22,0,murder not real governor
23,0,exactly chris governor mad could stopped thisthey well
24,0,great speech always felt great choice great job heading project warp speed
25,0,husband work warp speed definitely working well done president trump
26,0,announced warp speed success calling racist sorry people
27,0,hell yes dictator governor sit spin mandate
28,0,governor keep worsening voter life
29,0,hope overthrow evil mayor governor
30,0,take stupid face muzzle nothing short biohazard suit thing stop itnot homemade daisy print face diaper
31,0,screw face diaper hoax everywhere want long island one say thing
32,0,screw that not wearing plastic muzzle wearing face diaper american free man
33,0,texas not locked except first week mask mandate literally one abides
34,0,president institute mandatory nationwide lockdown mask wearing mandate token president trump not able remove mask mandate lockdown left individual state city
35,0,great one mask mandate would violate commerce clause
36,0,pedo ring wearing queen want exposed
37,0,wife wearing pedo symbol mask resolution photo not great
38,0,bitch wearing pedophile logo mask
39,0,bad case meth mouth
40,0,lotta meth one photo
41,0,meth head lost know not
42,0,another million trying defeat cocaine mitch mcconnell
43,0,well cocaine mitch lasted year month rip regular mitch bend mcconnell back everyone
44,0,cocaine mitch stabbed back earth feel appropriate this
45,0,somebody running low adrenochrome
46,0,another uberrich adrenochrome using pedo evil platform brought world paramount
47,0,adrenochome fan borrowed time
48,0,local news one around they are live shot talking mask asinine
49,0,proof lockdown mask not work
50,0,mask shutdown cannot like not one single day
51,0,especially soul wear alone vehicle away human being
52,0,fool remind people jealous someone buy new car cannot drive
53,0,will bet wearing mask aloneand car bahahaha
54,0,excon hired violence interrupter arrested charged murder judicial watch
55,0,terminated arrested criminally negligent homicide
56,0,arrested threatening president united state washed show actress
57,1,god election spoken kyle free force righteous man raise sword prepared pushed corner
58,1,not anti christ know this antichrist not yet revealed jesus break seal saint christ jesus arise meet savior air obama lie imposter traitor type part created treason humanity america god arise standard enemy repent come unto savior lord jesus come kingdom saved grace gift god resurrected gave life you amen
59,1,seniorchaplain believe god time also believe illuminati read bible trying confuse hide kind sin
60,1,everyone wake eventually better sooner
61,1,probably best sooner later
62,1,please sooner better hand deck shit storm coming people
63,1,catholic faith pope approves biden not stand pro life think need get together either stand pro life not not pick choose not following rule
64,1,mean man religious righteous church allow communion
65,1,pope francis never pope anyones know however socialist backed obama cuba dictatorship alone tell need know pope francis excommunicated
66,1,pattijenkins too hopefully work thing settle some
